"","CODIGO","NOMBRE_UNIVERSIDAD","TIPO_GESTION","DEPARTAMENTO_FILIAL","NOMBRE_FILIAL","CODIGO_CLASE_PROGRAMA","NOMBRE_CLASE_PROGRAMA","NOMBRE_PROGRAMA","ANIO_PERIODO","Cant_Carnes"
"15","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","CIENCIA POLITICA",2018,15
"16","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA",2018,13
"17","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA INTERNACIONAL",2018,4
"18","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA PUBLICA",2018,5
"19","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. EN PSICOLOGIA",2018,1
"20","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","PSICOLOGIA",2018,15
"21","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","PSICOLOGIA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA",2018,2
"22","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","SOCIOLOGIA",2018,3
"23","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",32,"PERIODISMO E INFORMACIÓN","BIBLIOTECOLOGIA Y C. DE LA INFOR",2018,5
"24","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",41,"ADMINISTRACIÓN Y COMERCIO","ADM. DE NEGOCIOS INTERNACIONALES",2018,12
"25","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",41,"ADMINISTRACIÓN Y COMERCIO","ADMINISTRACION",2018,24
"26","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",41,"ADMINISTRACIÓN Y COMERCIO","AUDITORIA EMPRES. Y SECTOR PUBL.",2018,11
"27","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",41,"ADMINISTRACIÓN Y COMERCIO","CONTABILIDAD",2018,30
"28","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",41,"ADMINISTRACIÓN Y COMERCIO","GESTION TRIBUTARIA",2018,17
"29","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",41,"ADMINISTRACIÓN Y COMERCIO","MAE. EN ADMINISTRACION",2018,1
"30","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",42,"DERECHO","DERECHO",2018,61
"31","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",42,"DERECHO","MAE. EN DERECHO",2018,1
"32","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",51,"CIENCIAS BIOLÓGICAS Y AFINES","CIENCIAS BIOLOGICAS",2018,6
"33","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",51,"CIENCIAS BIOLÓGICAS Y AFINES","MICROBIOLOGIA Y PARASITOLOGIA",2018,4
"34","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",52,"MEDIO AMBIENTE","INGENIERIA AMBIENTAL",2018,2
"35","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",53,"CIENCIAS FÍSICAS Y QUÍMICAS","FISICA",2018,2
"36","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",53,"CIENCIAS FÍSICAS Y QUÍMICAS","GEOGRAFIA",2018,6
"37","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",53,"CIENCIAS FÍSICAS Y QUÍMICAS","INGENIERIA GEOGRAFICA",2018,4
"38","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",53,"CIENCIAS FÍSICAS Y QUÍMICAS","INGENIERIA GEOLOGICA",2018,6
"39","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",53,"CIENCIAS FÍSICAS Y QUÍMICAS","INGENIERIA QUIMICA",2018,8
"40","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",53,"CIENCIAS FÍSICAS Y QUÍMICAS","MAESTRIA EN GEOLOGIA",2018,1
"41","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",53,"CIENCIAS FÍSICAS Y QUÍMICAS","QUIMICA",2018,5
"42","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",54,"MATEMÁTICAS Y ESTADÍSTICA","ESTADISTICA",2018,2
"43","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",54,"MATEMÁTICAS Y ESTADÍSTICA","INVESTIGACION OPERATIVA",2018,2
"44","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",61,"INFORMÁTICA","COMPUTACION CIENTIFICA",2018,3
"45","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",61,"INFORMÁTICA","INGENIERIA DE SISTEMAS",2018,16
"46","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",61,"INFORMÁTICA","INGENIERIA DE SOFTWARE",2018,8
"47","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",61,"INFORMÁTICA","INGENIERIA DE TELECOMUNICACIONES",2018,5
"48","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",71,"INGENIERÍA Y PROFESIONES AFINES","INGENIERIA ELECTRICA",2018,4
"49","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",71,"INGENIERÍA Y PROFESIONES AFINES","INGENIERIA ELECTRONICA",2018,3
"50","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",71,"INGENIERÍA Y PROFESIONES AFINES","INGENIERIA MECANICA DE FLUIDOS",2018,9
"51","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",71,"INGENIERÍA Y PROFESIONES AFINES","INGENIERIA METALURGICA",2018,2
"52","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",72,"INDUSTRIA Y PRODUCCIÓN","INGENIERIA DE MINAS",2018,2
"53","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",72,"INDUSTRIA Y PRODUCCIÓN","INGENIERIA INDUSTRIAL",2018,17
"54","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",72,"INDUSTRIA Y PRODUCCIÓN","INGENIERIA TEXTIL Y CONFECCIONES",2018,2
"55","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",73,"ARQUITECTURA Y CONSTRUCCIÓN","INGENIERIA CIVIL",2018,1
"56","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",81,"AGRICULTURA","INGENIERIA AGROINDUSTRIAL",2018,4
"57","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",84,"VETERINARIA","MEDICINA VETERINARIA",2018,3
"58","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","ENFERMERIA",2018,5
"59","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","FARMACIA Y BIOQUIMICA",2018,17
"60","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","GENETICA Y BIOTECNOLOGIA",2018,6
"61","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","MEDICINA HUMANA",2018,30
"62","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","NUTRICION",2018,8
"63","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","OBSTETRICIA",2018,8
"64","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","ODONTOLOGIA",2018,8
"65","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","TECNOLOGIA MEDICA",2018,7
"66","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",91,"SALUD","TOXICOLOGIA",2018,2
"67","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","","[NO ESPECIFICADO]",92,"BIENESTAR","TRABAJO SOCIAL",2018,8
"68","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",1,"SERVICIOS PERSONALES","ADMINISTRACION DE TURISMO",2018,511
"69","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","INGENIERIA DE SEGURIDAD Y SALUD EN TRABAJO",2018,166
"70","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","MAE. EN EPIDEMIOLOGIA",2018,8
"71","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","MAE. EN SALUD PUBLICA",2018,33
"72","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","MAE. GERENCIA DE SERV. DE SALUD",2018,55
"73","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","MAE.EN SALUD OCUPACIONAL Y AMBIE",2018,25
"74","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","MAESTRIA EN GESTIÓN INTEGRADA EN SEGURIDAD, SALUD OCUPACIONAL Y MEDIO AMBIENTE",2018,106
"75","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","MAESTRIA PROFESIONAL EN PREVENCION DE RIESGOS LABORALES Y AMBIENTALES",2018,40
"76","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","S.E. ENFERMERIA EN EMERGENCIA Y D.",2018,1
"77","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","S.E. ENFERMERIA SALUD PUBLICA",2018,9
"78","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","S.E. MED.EMERGENCIA Y DESASTRES",2018,14
"79","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","S.E. MEDICINA FAMILIAR Y COMUNITARIA",2018,6
"80","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","S.E.MED.ENFERMEDADES INFECCIOSAS Y TROPI",2018,15
"81","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",11,"EDUCACIÓN INICIAL Y PRIMARIA","SEGUNDA ESPECIALIDAD EN INTERVENCIÓN TEMPRANA EN NIÑOS CON Y SIN NECESIDADES EDUCATIVAS ESPECIALES",2018,19
"82","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",12,"EDUCACIÓN SECUNDARIA","FILOSOFIA",2018,192
"83","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",13,"EDUCACIÓN SUPERIOR Y TECNOLÓGICA","MAE. EN DOCENCIA E INVESTIG. EN SALUD",2018,56
"84","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",14,"EDUCACIÓN ESPECIAL","S.E.ESTR.EVAL.INTE.DIF.LENG.INF.",2018,36
"85","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",15,"EDUCACIÓN FÍSICA","EDUCACION FISICA",2018,605
"86","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",19,"OTROS PROGRAMAS EN EDUCACIÓN","COMUNICACION SOCIAL",2018,453
"87","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",19,"OTROS PROGRAMAS EN EDUCACIÓN","EDUCACION",2018,1002
"88","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",19,"OTROS PROGRAMAS EN EDUCACIÓN","MAESTRIA EN EDUCACION",2018,250
"89","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",19,"OTROS PROGRAMAS EN EDUCACIÓN","MAESTRIA EN GESTION DE LA INFORMACION Y DEL CONOCIMIENTO",2018,21
"90","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",21,"ARTE","ARTE",2018,191
"91","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",21,"ARTE","CONSERVACION Y RESTAURACION",2018,80
"92","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",21,"ARTE","DANZA",2018,26
"93","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",21,"ARTE","MAE.EN ARTE PERUANO Y LATINOAMER",2018,11
"94","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",22,"HUMANIDADES","ANTROPOLOGIA",2018,284
"95","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",22,"HUMANIDADES","ARQUEOLOGIA",2018,225
"96","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",22,"HUMANIDADES","DOC. EN FILOSOFIA",2018,15
"97","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",22,"HUMANIDADES","HISTORIA",2018,214
"98","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",22,"HUMANIDADES","MAE. EN ANTROPOLOGIA",2018,14
"99","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",22,"HUMANIDADES","MAE. EN ARQUEOLOGIA ANDINA",2018,1
"100","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",22,"HUMANIDADES","MAE. EN FILOSOFIA",2018,18
"101","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",22,"HUMANIDADES","MAE. EN HISTORIA",2018,17
"102","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",23,"IDIOMAS","DOC. EN LINGÜISTICA",2018,15
"103","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",23,"IDIOMAS","DOC.EN LITERATURA PERUANA Y LATI",2018,11
"104","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",23,"IDIOMAS","LENGUA Y LITERATURA",2018,10
"105","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",23,"IDIOMAS","LINGÜISTICA",2018,208
"106","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",23,"IDIOMAS","LITERATURA",2018,240
"107","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",23,"IDIOMAS","MAE. EN ESCRITURA CREATIVA",2018,32
"108","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",23,"IDIOMAS","MAESTRIA EN LINGÜISTICA",2018,22
"109","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",23,"IDIOMAS","MAESTRIA EN LITERATURA PERUANA Y LATINOAMERICANA",2018,29
"110","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","CIENCIA POLITICA",2018,525
"111","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","DOC. EN CIENCIAS SOCIALES",2018,19
"112","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","DOC. EN ECONOMIA",2018,11
"113","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","DOC. EN PSICOLOGIA",2018,19
"114","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","DOC. GESTION ECONOMICA GLOBAL",2018,12
"115","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA",2018,767
"116","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA INTERNACIONAL",2018,432
"117","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","ECONOMIA PUBLICA",2018,449
"118","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. CIENCIAS GESTION ECONOM. EMP.",2018,12
"119","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. EN ECONOMIA",2018,108
"120","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. EN GENERO Y DESARROLLO",2018,13
"121","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. EN POLITICA SOCIAL",2018,47
"122","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. EN PSICOLOGIA",2018,120
"123","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. EN SOCIOLOGIA",2018,13
"124","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE. GESTION DEL PATRIMONIO CULT",2018,18
"125","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE.EN POLITICA Y GESTION TRIBUT",2018,153
"126","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LIMA","UNMSM-SEDE PRINCIPAL",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","MAE.EN POLITICAS Y PLANIF.EN SAL",2018,8
