"","CODIGO_ENTIDAD","NOMBRE","TIPO_GESTION","ESTADO_LICENCIAMIENTO","PERIODO_LICENCIAMIENTO","CODIGO_FILIAL","NOMBRE_FILIAL","DEPARTAMENTO_FILIAL","PROVINCIA_FILIAL","CODIGO_LOCAL","DEPARTAMENTO_LOCAL","PROVINCIA_LOCAL","DISTRITO_LOCAL","LATITUD_UBICACION","LONGITUD_UBICACION","TIPO_AUTORIZACION_LOCAL","DENOMINACION_PROGRAMA","TIPO_NIVEL_ACADEMICO","NIVEL_ACADEMICO","CODIGO_CLASE_PROGRAMA_N2","NOMBRE_CLASE_PROGRAMA_N2","TIPO_AUTORIZACION_PROGRAMA","TIPO_AUTORIZACION_PROGRAMA_LOCAL"
"2187","013","UNIVERSIDAD NACIONAL DE PIURA","PÚBLICO","LICENCIA OTORGADA",6,"S","UNP-PIURA","PIURA","PIURA","SL01","PIURA","PIURA","CASTILLA",-5.179311,-80.6188325,"AUTORIZADO POR LIC.","INGENIERÍA GEOLÓGICA","PREGRADO","CARRERA PROFESIONAL",53,"CIENCIAS FÍSICAS Y QUÍMICAS","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2188","013","UNIVERSIDAD NACIONAL DE PIURA","PÚBLICO","LICENCIA OTORGADA",6,"S","UNP-PIURA","PIURA","PIURA","SL01","PIURA","PIURA","CASTILLA",-5.179311,-80.6188325,"AUTORIZADO POR LIC.","DOCTORADO EN INGENIERÍA DE SISTEMAS","POSGRADO","DOCTORADO",61,"INFORMÁTICA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2189","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PÚBLICO","LICENCIA OTORGADA",10,"S","UNMSM-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LIMA",-12.0560257,-77.0844226,"AUTORIZADO POR LIC.","DIRECCIÓN ESTRATÉGICA DE LAS TELECOMUNICACIONES","POSGRADO","MAESTRÍA",61,"INFORMÁTICA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2190","002","UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA","PÚBLICO","LICENCIA OTORGADA",6,"S","UNSCH-AYACUCHO","AYACUCHO","HUAMANGA","SL01","AYACUCHO","HUAMANGA","AYACUCHO",-13.1612654,-74.2257339,"AUTORIZADO POR LIC.","MEDICINA HUMANA","PREGRADO","CARRERA PROFESIONAL",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2191","057","UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.","PRIVADO","LICENCIA OTORGADA",6,"S","USIL-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LA MOLINA",-12.072888,-76.9516609,"AUTORIZADO POR LIC.","GASTRONOMÍA Y GESTIÓN DE RESTAURANTES","PREGRADO","CARRERA PROFESIONAL",1,"SERVICIOS PERSONALES","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2192","032","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","PÚBLICO","LICENCIA OTORGADA",6,"S","UNJBG-TACNA","TACNA","TACNA","SL03","TACNA","TACNA","TACNA",-18.0203709,-70.2531078,"AUTORIZADO POR LIC.","AGRONOMÍA","PREGRADO","CARRERA PROFESIONAL",81,"AGRICULTURA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2193","006","UNIVERSIDAD NACIONAL DE INGENIERÍA","PÚBLICO","LICENCIA OTORGADA",10,"S","UNI-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","RÍMAC",-12.0220074,-77.0493646,"AUTORIZADO POR LIC.","INGENIERÍA ELÉCTRICA","PREGRADO","CARRERA PROFESIONAL",71,"INGENIERÍA Y PROFESIONES AFINES","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2194","079","UNIVERSIDAD ESAN","PRIVADO","LICENCIA OTORGADA",6,"S","UE-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SANTIAGO DE SURCO",-12.1048857,-76.9616022,"AUTORIZADO POR LIC.","DERECHO CORPORATIVO","PREGRADO","CARRERA PROFESIONAL",42,"DERECHO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2195","055","UNIVERSIDAD PRIVADA DEL NORTE S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UPN-LA LIBERTAD","LA LIBERTAD","TRUJILLO","SL03","LA LIBERTAD","TRUJILLO","TRUJILLO",-8.0950664,-79.0498645,"AUTORIZADO POR LIC.","INGENIERÍA CIVIL","PREGRADO","CARRERA PROFESIONAL",73,"ARQUITECTURA Y CONSTRUCCIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2196","065","UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UTP-LIMA","LIMA","LIMA","SL04","LIMA","LIMA","LIMA",-12.0704665,-77.0367812,"AUTORIZADO POR LIC.","INGENIERÍA DE REDES Y COMUNICACIONES","PREGRADO","CARRERA PROFESIONAL",61,"INFORMÁTICA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2197","075","UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS","PÚBLICO","LICENCIA OTORGADA",6,"S","UNAMD-MADRE DE DIOS","MADRE DE DIOS","TAMBOPATA","SL02","MADRE DE DIOS","TAMBOPATA","LAS PIEDRAS",-12.0962409,-69.4696319,"AUTORIZADO POR LIC.","INGENIERÍA FORESTAL Y MEDIO AMBIENTE","PREGRADO","CARRERA PROFESIONAL",82,"SILVICULTURA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2198","065","UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UTP-LIMA","LIMA","LIMA","SL04","LIMA","LIMA","LIMA",-12.0704665,-77.0367812,"AUTORIZADO POR LIC.","ADMINISTRACIÓN DE EMPRESAS","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2199","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL02","LIMA","LIMA","LA MOLINA",-12.0695303,-76.9685595,"AUTORIZADO POR LIC.","BIOESTADÍSTICA","POSGRADO","MAESTRÍA",54,"MATEMÁTICAS Y ESTADÍSTICA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2200","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SAN MARTÍN DE PORRES",-12.0239471,-77.0564991,"AUTORIZADO POR LIC.","MEDICINA FÍSICA Y DE REHABILITACIÓN","POSGRADO","SEGUNDA ESPECIALIDAD",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2201","064A","UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F02","UPSJB-ICA","ICA","CHINCHA","F02L01","ICA","CHINCHA","CHINCHA ALTA",-13.4208296,-76.1340976,"AUTORIZADO POR LIC.","ENFERMERÍA","PREGRADO","CARRERA PROFESIONAL",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2202","001","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PÚBLICO","LICENCIA OTORGADA",10,"S","UNMSM-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LIMA",-12.0560257,-77.0844226,"AUTORIZADO POR LIC.","ODONTOLOGÍA FORENSE","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2203","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL02","LIMA","LIMA","LA MOLINA",-12.0695303,-76.9685595,"AUTORIZADO POR LIC.","MEDICINA OCUPACIONAL Y DEL MEDIO AMBIENTE","POSGRADO","SEGUNDA ESPECIALIDAD",2,"SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2204","038","UNIVERSIDAD PERUANA UNIÓN","PRIVADO","LICENCIA OTORGADA",6,"S","UPeU-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LURIGANCHO",-11.989087,-76.839662,"AUTORIZADO POR LIC.","ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2205","006","UNIVERSIDAD NACIONAL DE INGENIERÍA","PÚBLICO","LICENCIA OTORGADA",10,"S","UNI-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","RÍMAC",-12.0220074,-77.0493646,"AUTORIZADO POR LIC.","SEGUNDA ESPECIALIZACIÓN PROFESIONAL EN INGENIERÍA DE HIGIENE Y SEGURIDAD ALIMENTARIA","POSGRADO","SEGUNDA ESPECIALIDAD",73,"ARQUITECTURA Y CONSTRUCCIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2206","020","UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN","PRIVADO","LICENCIA OTORGADA",6,"S","UNIFE-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LA MOLINA",-12.0716313,-76.9650529,"AUTORIZADO POR LIC.","MAESTRÍA EN PSICOLOGÍA CON MENCIÓN EN PSICOLOGÍA EMPRESARIAL","POSGRADO","MAESTRÍA",31,"CIENCIAS SOCIALES Y DEL COMPORTAMIENTO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2207","005","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA","PÚBLICO","LICENCIA OTORGADA",10,"S","UNSA-AREQUIPA","AREQUIPA","AREQUIPA","SL01","AREQUIPA","AREQUIPA","AREQUIPA",-16.4027681,-71.5255001,"AUTORIZADO POR LIC.","CUIDADOS INTENSIVOS","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2208","016","UNIVERSIDAD NACIONAL DE CAJAMARCA","PÚBLICO","LICENCIA OTORGADA",6,"S01","UNC-CAJAMARCA","CAJAMARCA","CAJAMARCA","S01L01","CAJAMARCA","CAJAMARCA","CAJAMARCA",-7.167159,-78.4965043,"AUTORIZADO POR LIC.","COMUNICACIÓN SOCIAL","POSGRADO","SEGUNDA ESPECIALIDAD",19,"OTROS PROGRAMAS EN EDUCACIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2209","002","UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA","PÚBLICO","LICENCIA OTORGADA",6,"S","UNSCH-AYACUCHO","AYACUCHO","HUAMANGA","SL01","AYACUCHO","HUAMANGA","AYACUCHO",-13.1612654,-74.2257339,"AUTORIZADO POR LIC.","EDUCACIÓN PRIMARIA","PREGRADO","CARRERA PROFESIONAL",11,"EDUCACIÓN INICIAL Y PRIMARIA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2210","003","UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","PÚBLICO","LICENCIA OTORGADA",8,"F04","UNSAAC-CUSCO","CUSCO","ESPINAR","F04L01","CUSCO","ESPINAR","ESPINAR",-14.7895845,-71.412125,"AUTORIZADO POR LIC.","MEDICINA VETERINARIA","PREGRADO","CARRERA PROFESIONAL",84,"VETERINARIA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2211","008","PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ","PRIVADO","LICENCIA OTORGADA",10,"S","PUCP-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SAN MIGUEL",-12.0693438,-77.080122,"AUTORIZADO POR LIC.","DERECHO DE LA EMPRESA: GESTIÓN EMPRESARIAL","POSGRADO","MAESTRÍA",42,"DERECHO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2212","136","UNIVERSIDAD MARÍA AUXILIADORA S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UMA-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SAN JUAN DE LURIGANCHO",-11.9783448,-77.0168261,"AUTORIZADO POR LIC.","ADMINISTRACIÓN Y MARKETING","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2213","089","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS","PÚBLICO","LICENCIA OTORGADA",6,"S","UNJMA-APURÍMAC","APURÍMAC","ANDAHUAYLAS","SL01","APURÍMAC","ANDAHUAYLAS","SAN JERÓNIMO",-13.6571898,-73.387931,"AUTORIZADO POR LIC.","CONTABILIDAD","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2214","019","UNIVERSIDAD DE SAN MARTÍN DE PORRES","PRIVADO","LICENCIA OTORGADA",6,"S","USMP-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","SANTA ANITA",-12.045948,-76.9681914,"AUTORIZADO POR LIC.","CIRUGÍA BUCAL Y MAXILOFACIAL","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2215","015","UNIVERSIDAD CATÓLICA DE SANTA MARÍA","PRIVADO","LICENCIA OTORGADA",6,"S","UCSM-AREQUIPA","AREQUIPA","AREQUIPA","SL01","AREQUIPA","AREQUIPA","AREQUIPA",-16.4061786,-71.5476298,"AUTORIZADO POR LIC.","ENFERMERÍA EN CARDIOLOGÍA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2216","005","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA","PÚBLICO","LICENCIA OTORGADA",10,"S","UNSA-AREQUIPA","AREQUIPA","AREQUIPA","SL01","AREQUIPA","AREQUIPA","AREQUIPA",-16.4027681,-71.5255001,"AUTORIZADO POR LIC.","GESTIÓN PÚBLICA","POSGRADO","SEGUNDA ESPECIALIDAD",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2217","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL04","LIMA","LIMA","MIRAFLORES",-12.13402606,-77.02627908,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ODONTOPEDIATRIA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2218","010","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","PÚBLICO","LICENCIA OTORGADA",6,"S","UNCP-JUNÍN","JUNÍN","HUANCAYO","SL01","JUNÍN","HUANCAYO","EL TAMBO",-12.0330464,-75.237332,"AUTORIZADO POR LIC.","MAESTRÍA EN ADMINISTRACIÓN MENCIÓN ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS","POSGRADO","MAESTRÍA",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2219","010","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","PÚBLICO","LICENCIA OTORGADA",6,"S","UNCP-JUNÍN","JUNÍN","HUANCAYO","SL01","JUNÍN","HUANCAYO","EL TAMBO",-12.0330464,-75.237332,"AUTORIZADO POR LIC.","CIENCIAS DE LA COMUNICACIÓN","PREGRADO","CARRERA PROFESIONAL",32,"PERIODISMO E INFORMACIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2220","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL03","LIMA","LIMA","SAN ISIDRO",-12.091066,-77.052041,"AUTORIZADO POR LIC.","ANÁLISIS DEMOGRÁFICO","POSGRADO","SEGUNDA ESPECIALIDAD",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2221","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL02","LIMA","LIMA","LA MOLINA",-12.0695303,-76.9685595,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ANESTESIOLOGÍA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2222","003","UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","PÚBLICO","LICENCIA OTORGADA",8,"F07","UNSAAC-MADRE DE DIOS","MADRE DE DIOS","TAMBOPATA","F07L01","MADRE DE DIOS","TAMBOPATA","TAMBOPATA",-12.5825295,-69.1932762,"AUTORIZADO POR LIC.","MAESTRÍA EN CIENCIAS MENCIÓN FÍSICA","POSGRADO","MAESTRÍA",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2223","068","UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UCS-LIMA","LIMA","LIMA","SL03","LIMA","LIMA","MIRAFLORES",-12.1211435,-77.0256582,"AUTORIZADO POR LIC.","SEGUNDA ESPECIALIDAD INTERNACIONAL EN IMPLANTOLOGÍA ORAL","POSGRADO","SEGUNDA ESPECIALIDAD",0,"NINGUNO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2224","054","UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UPC-LIMA","LIMA","LIMA","SL07","LIMA","LIMA","SAN MIGUEL",-12.0810086,-77.0707359,"AUTORIZADO POR LIC.","MAESTRÍA EN DIRECCIÓN DE LA CONSTRUCCIÓN","POSGRADO","MAESTRÍA",73,"ARQUITECTURA Y CONSTRUCCIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2225","065","UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UTP-LIMA","LIMA","LIMA","SL05","LIMA","LIMA","LIMA",-12.0624396,-77.0405951,"AUTORIZADO POR LIC.","OBSTETRICIA","PREGRADO","CARRERA PROFESIONAL",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2226","069","UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO","PRIVADO","LICENCIA OTORGADA",6,"S","UCSTM-LAMBAYEQUE","LAMBAYEQUE","CHICLAYO","SL01","LAMBAYEQUE","CHICLAYO","CHICLAYO",-6.760456,-79.863203,"AUTORIZADO POR LIC.","MEDICINA HUMANA","PREGRADO","CARRERA PROFESIONAL",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2227","046","UNIVERSIDAD PRIVADA ANTENOR ORREGO","PRIVADO","LICENCIA OTORGADA",6,"S","UPAO-LA LIBERTAD","LA LIBERTAD","TRUJILLO","SL01","LA LIBERTAD","TRUJILLO","TRUJILLO",-8.1270487,-79.0314756,"AUTORIZADO POR LIC.","RADIOTERAPIA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2228","052A","UNIVERSIDAD CÉSAR VALLEJO S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F03","UPCV-SAN MARTÍN","SAN MARTÍN","SAN MARTÍN","F03L01","SAN MARTÍN","SAN MARTÍN","CACATACHI",-6.5551971,-76.336423,"AUTORIZADO POR LIC.","ADMINISTRACIÓN","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2229","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL02","LIMA","LIMA","LA MOLINA",-12.0695303,-76.9685595,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA EN SALUD ESCOLAR Y ADOLESCENTE","POSGRADO","SEGUNDA ESPECIALIDAD",92,"BIENESTAR","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2230","012","UNIVERSIDAD NACIONAL DEL ALTIPLANO","PÚBLICO","LICENCIA OTORGADA",6,"S","UNA-PUNO","PUNO","PUNO","SL01","PUNO","PUNO","PUNO",-15.8243805,-70.0162544,"AUTORIZADO POR LIC.","MAESTRÍA EN EDUCACIÓN MENCIÓN EN PLANIFICACIÓN Y GESTIÓN EN EDUCACIÓN INTERCULTURAL BILINGÜE","POSGRADO","MAESTRÍA",19,"OTROS PROGRAMAS EN EDUCACIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2231","015","UNIVERSIDAD CATÓLICA DE SANTA MARÍA","PRIVADO","LICENCIA OTORGADA",6,"S","UCSM-AREQUIPA","AREQUIPA","AREQUIPA","SL01","AREQUIPA","AREQUIPA","AREQUIPA",-16.4061786,-71.5476298,"AUTORIZADO POR LIC.","DERECHO PROCESAL CONSTITUCIONAL Y ADMINISTRATIVO","POSGRADO","SEGUNDA ESPECIALIDAD",42,"DERECHO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2232","068","UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UCS-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","VILLA EL SALVADOR",-12.2215281,-76.9766998,"AUTORIZADO POR LIC.","INGENIERÍA AGROFORESTAL","PREGRADO","CARRERA PROFESIONAL",81,"AGRICULTURA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2233","025","UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE","PÚBLICO","LICENCIA OTORGADA",6,"S","UNEEGV-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","LURIGANCHO",-11.9475748,-76.7011822,"AUTORIZADO POR LIC.","SEGUNDA ESPECIALIDAD PROFESIONAL: EDUCACIÓN PRIMARIA","POSGRADO","SEGUNDA ESPECIALIDAD",11,"EDUCACIÓN INICIAL Y PRIMARIA","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2234","071","UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE","PRIVADO","LICENCIA OTORGADA",6,"F03","UCSS-PIURA","PIURA","MORROPÓN","F03L03","PIURA","MORROPÓN","CHULUCANAS",-5.0977313,-80.1668312,"AUTORIZADO POR LIC.","NUTRICIÓN Y DIETÉTICA","PREGRADO","CARRERA PROFESIONAL",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2235","055","UNIVERSIDAD PRIVADA DEL NORTE S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UPN-LA LIBERTAD","LA LIBERTAD","TRUJILLO","SL02","LA LIBERTAD","TRUJILLO","TRUJILLO",-8.1002352,-79.0194531,"AUTORIZADO POR LIC.","MAESTRÍA EN DIRECCIÓN DE OPERACIONES Y CADENA DE ABASTECIMIENTO","POSGRADO","MAESTRÍA",72,"INDUSTRIA Y PRODUCCIÓN","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2236","069","UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO","PRIVADO","LICENCIA OTORGADA",6,"S","UCSTM-LAMBAYEQUE","LAMBAYEQUE","CHICLAYO","SL01","LAMBAYEQUE","CHICLAYO","CHICLAYO",-6.760456,-79.863203,"AUTORIZADO POR LIC.","SEGUNDA ESPECIALIDAD EN ADMINISTRACIÓN DE ENFERMERÍA","POSGRADO","SEGUNDA ESPECIALIDAD",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2237","015","UNIVERSIDAD CATÓLICA DE SANTA MARÍA","PRIVADO","LICENCIA OTORGADA",6,"S","UCSM-AREQUIPA","AREQUIPA","AREQUIPA","SL01","AREQUIPA","AREQUIPA","AREQUIPA",-16.4061786,-71.5476298,"AUTORIZADO POR LIC.","NEUMOLOGÍA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2238","064A","UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"S","UPSJB-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","CHORRILLOS",-12.196162,-77.006245,"AUTORIZADO POR LIC.","SEGUNDA ESPECIALIZACIÓN EN ORTOPEDIA Y TRAUMATOLOGÍA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2239","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL02","LIMA","LIMA","LA MOLINA",-12.0695303,-76.9685595,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN MEDICINA HIPERBÁRICA Y SUBACUÁTICA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2240","132","UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA","PRIVADO","LICENCIA OTORGADA",6,"S","UTEC-LIMA","LIMA","LIMA","SL01","LIMA","LIMA","BARRANCO",-12.1351432,-77.0221491,"AUTORIZADO POR LIC.","INGENIERÍA QUÍMICA","PREGRADO","CARRERA PROFESIONAL",53,"CIENCIAS FÍSICAS Y QUÍMICAS","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2241","067A","UNIVERSIDAD CONTINENTAL S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"F01","UCONTINENTAL-AREQUIPA","AREQUIPA","AREQUIPA","F01L01","AREQUIPA","AREQUIPA","JOSÉ LUIS BUSTAMANTE Y RIVERO",-16.4341104,-71.5219477,"AUTORIZADO POR LIC.","ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES","PREGRADO","CARRERA PROFESIONAL",41,"ADMINISTRACIÓN Y COMERCIO","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
"2242","014","UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"S","UPCH-LIMA","LIMA","LIMA","SL02","LIMA","LIMA","LA MOLINA",-12.0695303,-76.9685595,"AUTORIZADO POR LIC.","PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN RADIOLOGÍA","POSGRADO","SEGUNDA ESPECIALIDAD",91,"SALUD","RECONOCIDO POR LIC.","RECONOCIDO POR LIC."
